,Player,Nation,Pos,Squad,League,Value,Value_num,Age,Launched.Cmp%,Passes.Launch%,Passes.AvgLen,Goal Kicks.Launch%,Goal Kicks.AvgLen,Total.Att,Total.Cmp%,Total.Dist,Total.PrgDist,Short.Att,Short.Cmp%,Medium.Att,Medium.Cmp%,Advance_Cluster
49,Juan Musso,ar ARG,GK,Udinese,Italy, £10.80m,10800000.0,25.0,44.4,40.9,36.3,43.5,36.6,31.0,74.9,679.7,401.3,0.32,83.3,11.8,99.1,0
50,Juan Soriano,es ESP,GK,Leganés,Spain,£1.44m,1440000.0,21.0,28.0,52.3,45.8,78.7,63.1,27.0,56.6,536.6,372.0,0.0,,6.09,98.5,1
51,Karlo Letica,hr CRO,GK,SPAL,Italy, £900Th.,900000.0,22.0,36.8,50.0,40.6,65.6,48.6,31.9,63.3,641.5,447.3,0.4,75.0,10.4,100.0,2
52,Kasper Schmeichel,dk DEN,GK,Leicester City,England,£8.55m,8550000.0,32.0,49.0,39.9,37.4,47.5,40.9,31.0,76.7,735.4,414.3,0.11,50.0,11.4,99.3,2
53,Kepa Arrizabalaga,es ESP,GK,Chelsea,England,£28.80m,28800000.0,24.0,42.8,28.2,31.8,42.2,39.1,32.9,80.8,717.6,372.5,0.0,,15.3,99.0,0
54,Kevin Trapp,de GER,GK,Eint Frankfurt,Germany, £7.20m,7200000.0,29.0,44.9,42.3,37.1,46.2,41.2,42.7,74.7,959.6,629.2,0.14,100.0,17.0,99.5,0
55,Keylor Navas,cr CRC,GK,Paris S-G,France, £7.20m,7200000.0,32.0,50.8,24.4,30.9,23.9,29.7,25.9,86.0,586.0,325.2,0.1,100.0,12.1,100.0,0
56,Koen Casteels,be BEL,GK,Wolfsburg,Germany, £9.45m,9450000.0,27.0,46.8,47.0,40.1,59.6,48.7,37.9,73.1,941.3,574.8,0.04,100.0,11.8,99.3,2
57,Leopold Zingerle,de GER,GK,Paderborn 07,Germany, £1.08m,1080000.0,25.0,50.5,31.1,32.3,31.9,32.5,43.5,82.5,978.0,474.4,0.18,100.0,20.3,99.1,0
58,Ludovic Butelle,fr FRA,GK,Angers,France, £225Th.,225000.0,36.0,38.8,47.5,39.8,73.9,52.5,26.8,64.5,589.5,395.3,0.19,100.0,6.81,98.9,2
59,Luigi Sepe,it ITA,GK,Parma,Italy, £3.60m,3600000.0,28.0,49.1,51.2,41.6,45.0,35.3,33.5,73.9,783.4,512.5,1.21,100.0,10.8,99.5,0
60,Lukáš Hrádecký,fi FIN,GK,Leverkusen,Germany, £7.20m,7200000.0,29.0,43.2,37.0,35.7,42.7,38.9,46.9,76.4,1050.9,620.3,0.12,75.0,17.5,99.3,0
61,Łukasz Fabiański,pl POL,GK,West Ham,England,£2.88m,2880000.0,34.0,43.5,68.8,49.8,91.2,63.9,28.6,56.3,731.9,566.9,0.13,33.3,3.53,98.8,1
62,Łukasz Skorupski,pl POL,GK,Bologna,Italy, £4.95m,4950000.0,28.0,44.3,37.7,35.3,42.1,34.8,31.0,75.7,667.8,369.6,0.68,96.0,11.6,99.3,0
63,Manolo Reina,es ESP,GK,Mallorca,Spain, £270Th.,270000.0,34.0,37.0,56.4,43.4,61.4,50.4,33.2,62.1,702.4,524.1,0.17,66.7,10.0,100.0,2
64,Manuel Neuer,de GER,GK,Bayern Munich,Germany, £13.05m,13050000.0,33.0,58.9,26.0,30.1,22.3,29.0,43.8,88.0,1020.8,593.5,0.15,60.0,22.0,99.2,0
65,Marc-André ter Stegen,de GER,GK,Barcelona,Spain, £64.80m,64800000.0,27.0,60.7,22.8,28.8,29.7,31.0,39.4,88.1,899.7,548.4,0.33,91.7,19.9,99.6,0
66,Marco Silvestri,it ITA,GK,Hellas Verona,Italy, £4.32m,4320000.0,28.0,26.9,66.3,48.1,84.8,59.2,28.3,45.4,497.1,374.9,0.06,100.0,4.89,97.7,1
67,Mark Flekken,nl NED,GK,Freiburg,Germany, £855Th.,855000.0,26.0,39.8,43.8,40.1,57.7,51.5,43.5,70.1,1009.2,611.8,0.1,0.0,13.4,99.3,2
68,Marko Dmitrović,rs SRB,GK,Eibar,Spain, £8.55m,8550000.0,27.0,32.4,74.1,58.3,96.7,76.4,30.3,45.1,685.9,547.8,0.03,100.0,3.43,97.5,1
69,Martin Dúbravka,sk SVK,GK,Newcastle Utd,England,£4.95m,4950000.0,30.0,37.9,63.6,48.4,88.1,64.5,28.8,54.4,676.5,507.6,0.13,60.0,4.79,96.7,1
70,Mathew Ryan,au AUS,GK,Brighton,England,£7.20m,7200000.0,27.0,51.6,33.8,33.8,45.6,38.7,38.5,80.2,903.6,508.9,0.08,33.3,16.3,99.0,0
