,Player,Nation,Pos,Squad,League,Value,Value_num,Age,GA90,Save%,Expected./90,CS%,SoTA/90,Basic_Cluster
57,Leopold Zingerle,GER,GK,Paderborn 07,Germany, £1.08m,1080000,25,2.04,0.633,0.06,17.9,5.25,1
58,Ludovic Butelle,FRA,GK,Angers,France, £225Th.,225000,36,1.23,0.628,-0.26,42.3,3,0
59,Luigi Sepe,ITA,GK,Parma,Italy, £3.60m,3600000,28,1.56,0.745,0.03,14.7,5.411764706,2
60,Luk√°≈° Hr√°deck√Ω,FIN,GK,Leverkusen,Germany, £7.20m,7200000,29,1.29,0.693,0.14,29.4,4.029411765,0
61,≈Åukasz Fabia≈Ñski,POL,GK,West Ham,England,£2.88m,2880000,34,1.45,0.684,-0.08,20,3.92,0
62,≈Åukasz Skorupski,POL,GK,Bologna,Italy, £4.95m,4950000,28,1.73,0.678,-0.16,5.4,4.864864865,1
63,Manolo Reina,ESP,GK,Mallorca,Spain, £270Th.,270000,34,1.67,0.713,-0.02,13.9,4.555555556,2
64,Manuel Neuer,GER,GK,Bayern Munich,Germany, £13.05m,13050000,33,0.94,0.748,0.08,45.5,3.363636364,3
65,Marc-Andr√© ter Stegen,GER,GK,Barcelona,Spain, £64.80m,64800000,27,1,0.727,-0.03,38.9,3.055555556,3
66,Marco Silvestri,ITA,GK,Hellas Verona,Italy, £4.32m,4320000,28,1.23,0.757,0.01,25.7,4.228571429,2
67,Mark Flekken,NED,GK,Freiburg,Germany, £855Th.,855000,26,1.4,0.8,0.23,30,7,2
68,Marko Dmitroviƒá,SRB,GK,Eibar,Spain, £8.55m,8550000,27,1.46,0.584,-0.17,28.6,3.228571429,0
69,Martin D√∫bravka,SVK,GK,Newcastle Utd,England,£4.95m,4950000,30,1.53,0.705,0.26,28.9,5,2
70,Mathew Ryan,AUS,GK,Brighton,England,£7.20m,7200000,27,1.42,0.683,0.07,23.7,4.315789474,0
71,Mattia Perin,ITA,GK,Genoa,Italy, £7.20m,7200000,26,1.81,0.626,0.01,23.8,4.714285714,1
72,Matz Sels,BEL,GK,Strasbourg,France, £5.85m,5850000,27,1.19,0.726,0.02,29.6,3.518518519,3
73,Miguel √Ångel Moy√°,ESP,GK,Real Sociedad,Spain, £1.08m,1080000,35,1.23,0.686,-0.15,23.1,3.923076923,0
74,Mike Maignan,FRA,GK,Lille,France, £15.75m,15750000,23,0.96,0.705,0.01,42.9,2.785714286,3
75,Nick Pope,ENG,GK,Burnley,England,£8.55m,8550000,27,1.32,0.711,-0.06,39.5,4.184210526,3
76,Oliver Baumann,GER,GK,Hoffenheim,Germany, £4.95m,4950000,29,1.63,0.692,-0.16,23.3,4.766666667,0
77,Pau L√≥pez,ESP,GK,Roma,Italy, £17.10m,17100000,24,1.41,0.697,-0.07,15.6,3.8125,0
78,Paul Bernardoni,FRA,GK,N√Æmes,France, £4.95m,4950000,22,1.55,0.667,-0.16,24,4.08,0
79,Paulo Gazzaniga,ARG,GK,Tottenham,England,£2.52m,2520000,27,1.45,0.709,0.01,11.8,4.388888889,2
80,Pepe Reina,ESP,GK,Aston Villa,England,£585Th.,585000,36,1.67,0.64,-0.14,16.7,4.166666667,1
81,P√©ter Gul√°csi,HUN,GK,RB Leipzig,Germany, £8.55m,8550000,29,1.06,0.726,0.12,31.3,3.65625,3
82,Pierluigi Gollini,ITA,GK,Atalanta,Italy, £11.70m,11700000,24,1.31,0.681,-0.14,24.2,3.424242424,0
83,Predrag Rajkoviƒá,SRB,GK,Reims,France, £4.95m,4950000,23,0.67,0.798,0.33,44.4,3.111111111,3
84,Rafa≈Ç Gikiewicz,POL,GK,Union Berlin,Germany, £1.08m,1080000,31,1.64,0.681,-0.06,24.2,4.848484848,0
85,R√©gis Gurtner,FRA,GK,Amiens,France, £900Th.,900000,32,1.79,0.65,-0.28,17.9,5,1
86,Robin Olsen,SWE,GK,Cagliari,Italy, £5.85m,5850000,29,1.42,0.759,0,23.5,4.882352941,2
87,Robin Zentner,GER,GK,Mainz 05,Germany, £2.88m,2880000,24,1.86,0.655,-0.11,13.6,5.136363636,1
88,Roman B√ºrki,SUI,GK,Dortmund,Germany, £9.90m,9900000,28,1.3,0.602,-0.07,41.9,3,0
89,Rub√©n,ESP,GK,Osasuna,Spain, £495Th.,495000,35,1.36,0.588,-0.26,27.8,2.684210526,0
90,Rub√©n Blanco,ESP,GK,Celta Vigo,Spain, £7.20m,7200000,24,1.31,0.698,-0.07,30.3,3.818181818,0
91,Rui Patr√≠cio,POR,GK,Wolves,England,£14.40m,14400000,31,1.05,0.675,0.02,34.2,3.157894737,3
92,Rui Silva,POR,GK,Granada,Spain, £3.60m,3600000,25,1.2,0.721,0.01,34.3,3.885714286,3
93,R√∫nar Alex R√∫narsson,ISL,GK,Dijon,France, £1.08m,1080000,24,1.7,0.63,-0.29,0,4.181818182,1
94,Rune Jarstein,NOR,GK,Hertha BSC,Germany, £720Th.,720000,34,1.63,0.702,-0.19,31,4.517241379,0
95,Salvatore Sirigu,ITA,GK,Torino,Italy, £5.85m,5850000,32,1.78,0.709,0.11,19.4,5.25,2
96,Samir Handanoviƒá,SVN,GK,Inter,Italy, £4.32m,4320000,35,0.91,0.722,0.04,37.1,3.085714286,3
97,Sergio Asenjo,ESP,GK,Villarreal,Spain, £8.55m,8550000,30,1.21,0.746,-0.01,32.4,4.176470588,3
98,Sergio Herrera,ESP,GK,Osasuna,Spain, £1.08m,1080000,26,1.47,0.671,0.03,38.9,4.157894737,0
99,St√©phane Ruffier,FRA,GK,Saint-√âtienne,France, £2.16m,2160000,32,1.82,0.606,-0.26,13.6,4.272727273,1
100,Steve Mandanda,FRA,GK,Marseille,France, £2.16m,2160000,34,1.02,0.747,0.11,40.7,3.37037037,3
101,Thibaut Courtois,BEL,GK,Real Madrid,Spain, £43.20m,43200000,27,0.59,0.789,0.08,52.9,2.794117647,3
102,Thomas Strakosha,ALB,GK,Lazio,Italy, £18.00m,18000000,24,1.11,0.759,0.12,28.9,3.815789474,3
103,Tim Krul,NED,GK,Norwich City,England,£3.60m,3600000,31,1.89,0.656,-0.01,13.9,5.25,1
104,Timo Horn,GER,GK,K√∂ln,Germany, £3.60m,3600000,26,2.03,0.572,-0.41,17.6,4.470588235,1
105,Tom Heaton,ENG,GK,Aston Villa,England,£4.32m,4320000,33,1.76,0.677,-0.09,20,4.95,1
106,Tom√°≈° Koubek,CZE,GK,Augsburg,Germany, £3.15m,3150000,26,2.12,0.582,-0.17,16.7,5.083333333,1
107,Tom√°≈° Vacl√≠k,CZE,GK,Sevilla,Spain, £13.05m,13050000,30,0.95,0.698,-0.14,42.4,2.909090909,3
108,Unai Sim√≥n,ESP,GK,Athletic Club,Spain, £14.40m,14400000,22,0.87,0.767,0.29,35.3,3.029411765,3
109,Vicente Guaita,ESP,GK,Crystal Palace,England,£3.60m,3600000,32,1.2,0.714,0.21,28.6,4.2,2
110,Walter Ben√≠tez,ARG,GK,Nice,France, £7.20m,7200000,26,1.38,0.752,0.4,15.4,4.961538462,2
111,Wojciech Szczƒôsny,POL,GK,Juventus,Italy, £28.80m,28800000,29,1.15,0.792,0.06,37.9,4.137931034,3
112,Yann Sommer,SUI,GK,M'Gladbach,Germany, £8.55m,8550000,30,1.18,0.743,0.13,20.6,4.470588235,2
113,Zack Steffen,USA,GK,D√ºsseldorf,Germany, £5.40m,5400000,24,2.12,0.632,-0.19,11.8,5.588235294,1
